|||
|S69-38930|ap11-S69-38930HR.jpg|This pre-flight photo shows Buzz's suit in its lunar surface configuration. Note that the sewn-on cuff checklist can be seen on the wrist cover of Buzz's left glove, the one closest to the right suit leg. Note, also, that Buzz is not going to wear a strap-on pocket. See, also, AS11-40-<a href="#5903" target="new">5903</a>. Ken Glover believes that the grey square at the upper right, just below the bubble helmet, is a photographer's grey card; it is certainly not an EMU component. The pattern of Velcro strips and snaps surrounding the connector cluster provided for installation of what seems to have been called an "umbilical cover". There is considerable evidence that the Apollo 11-14 LM crew members' suits all had a similar pattern of Velcro and snaps but, as of June 2007, we have been unable to locate any indication - in photos, checklists, and EMU handbooks - of an umbilical cover having been flown. Karl Dodenhoff has provided a <a href="../EMUconnectcover.jpg" title="image" target="new">photograph</a>, but doesn't remember where he found it. Scan by Eric Jones.
|S69-38937|ap11-S69-38937HR.jpg|This pre-flight photo shows Buzz's left glove, including the sewn-on checklist. Scan courtesy J.L. Pickering.
|S69-38937 detail|a11det38937.jpg|Bulk Sam/Core/Tube
|S69-38892|ap11-S69-38892HR.jpg|This pre-flight photo shows Neil's suit in its command module configuration, which includes the black IVA (Intra-vehicular) gloves at the right. Scan by Eric Jones.
|S69-38943|ap11-S69-38943HR.jpg|This pre-flight photo shows Neil's IVA (Intra-vehicular) gloves. Scan by Eric Jones.
|S69-38889|ap11-S69-38889HR.jpg|This pre-flight photo shows Neil's suit in its lunar surface configuration, which includes the Liquid Cooled Garment at the left and the EVA (Extra-vehicular) gloves and moon boots at the right. Mike Gentry at NASA Johnson gives a date for the photo of 9 July 1969, but this may represent the date when the photo was released to the public and that the date it was taken was earlier. Research by Frederic Artner. The suit is shown with a strap-on pocket attached to the left thigh, as was the case during the EVA. In a detail from S69-38889 ( <a href="a11pckt388809.jpg" title="image" target="new">166k</a> ), we see some horizontal strips of Velcro hooks on the outside of the top flap which, on later missions, mated with horizontal strips of Velcro pile on the suit to hold the flap open. In the detail, we see that a loop of Velcro has been added been attached to the flap and a corresponding strip of Velcro has been attached over the front of the left hip. Further details of a typical strap-on pocket can be found in an <a href="../a16/A16ShinPocket.html" target="new">Apollo 16 discussion</a>. The suit shown in that discussion is Charlie Duke's training suit, which had horizontal strips of Velcro pile just above the knee, because Charlie wore his strap-on pockets on his shins. Ulli Lotzmann notes that the card placed between the boots that reads &quot;PGA 076&quot; is wrong. The actual serial number of Neil's PGA is 056. The mistake is undoubtedly due to the fact that the <a href="a11NAA_PGA_LinerAssemblyLabel.jpg" title="image" target="new">serial number of Neil's suit 'liner assembly' is 076</a>. The person who created the card probably saw the serial number of the liner and thought that was the number for the entire PGA as well. Bill Ayrey (ILC) has provided &quot;<a href="Armstrong056ILC_FitCheck.pdf" target="new">the fit-check record</a> from the day that Neil was initially fitted into his 056 suit. It was on December 5, 1968 at 5 PM (which was on a Thursday). Mel Case was the ILC engineer performing the fit check. Neil came back to ILC on Saturday, May 3, 1969 for his final fit-check in the 056 suit.&quot; Journal Contributor Roland Suhr notes that there isn't a mission patch on the suit. Photos <a href="#S6938489" target="new">S69-38489</a> to 38517, taken during an EMU Crew and Cabin Fit-and-Function (CCFF) session on <a href="A11CrewTrainingSummaries.pdf" target="new">25 June 1969</a>, also show the flight suits without mission patches. Clearly, the patches were put on the suits no earlier than 25 June. On 27 January 2014, ILC Historian Bill Ayrey wrote: &quot;ILC was responsible for preparing the suits which included sewing the patches on. NASA was responsible for providing the patches which as I recall, they bought from a company named Lion Brothers. (Bill is correct. See Gene Dorr's patch <a href="http://genedorr.com/patches/Intro.html" target="new">webpage</a>.) Ron Woods was one of our ILC suit technicians at the time and actually suited Buzz up for his Apollo 11 mission. &quot; On 28 January 2014, Ron Woods told Ayrey &quot;We were very late on sewing on the Beta (cloth) Flight Patches. Maybe two weeks prior to launch. And, of course, they were top stitched with the sewing machine and then carefully hand sewn through the top layer of the TMG (Thermal-Micrometeoroid Garment).&quot;
|S69-CDR Gloves||This pre-flight photo shows Neil's EVA (extra-vehicular) gloves. The sewn-on cuff checklist is clearly visible on the wrist cover on the left (upper) glove. Note that there is also a sewn-on decal in the inside of the wrist cover on the right (lower) glove.
|S69-38898|ap11-S69-38898HR.jpg|This pre-flight photo shows Neil's left glove, including the sewn-on checklist. Scan by Eric Jones.
|S69-38898 detail|a11det38898.jpg|Stereo Core Tube Tether Bag/Unstow Gnomon Photo &amp; Bag Samples Hold Envir/GSA Samp Cont Retrv SWC-Soil Mech Pack/Close SRC (Ingress)
|S69-CDR Gloves||This pre-flight photo shows Neil's IV (Intravehicular) gloves, which were worn for suited operations in the spacecraft and lacked the various thermal layers present on the EVA gloves. Lacking the thermal layers, the IV gloves were far more flexible than the EVA gloves.
