|S69-38930|ap11-S69-38930HR.jpg||"This pre-flight photo shows Buzz's suit in its lunar surface configuration. Note that the sewn-on cuff checklist can be seen on the wrist cover of Buzz's left glove, the one closest to the right suit leg. Note, also, that Buzz is not going to wear a strap-on pocket. See, also, AS11-40-<a href=""#5903"" target=""new"">5903</a>. Ken Glover believes that the grey square at the upper right, just below the bubble helmet, is a photographer's grey card; it is certainly not an EMU component. The pattern of Velcro strips and snaps surrounding the connector cluster provided for installation of what seems to have been called an ""umbilical cover"". There is considerable evidence that the Apollo 11-14 LM crew members' suits all had a similar pattern of Velcro and snaps but, as of June 2007, we have been unable to locate any indication - in photos, checklists, and EMU handbooks - of an umbilical cover having been flown. Karl Dodenhoff has provided a <a href=""../EMUconnectcover.jpg"" title=""image"" target=""new"">photograph</a>, but doesn't remember where he found it. Scan by Eric Jones."|
|0690-69P-556|AS11-0690-69P-556sm.jpg||Suit technician Ron Woods works on Buzz's left IVA glove during suit-up, possibly for a Countdown Demonstration Test on 3 July 1969. Image courtesy Ulli Lotzmann.|
|0700-69P-558|AS11-0700-69P-558sm.jpg||Armstrong (leading), Collins, and Aldrin make their way to the transfer van, probably for a Countdown Demonstration Test on 3 July 1969. Immediately behind Aldrin are ILC suit techs Joe Schmidt (left) and Ron Woods (right) who will accompany the crew to the pad and help get them into the spacecraft. Image courtesy Ulli Lotzmann.|
|0815C-69PC-382|AS11-0815C-69PC-381-7.16.69sm.jpg||ILC Suit technician Ron Woods watches while Buzz dons his right IVA glove. 16 July 1969. Image courtesy Ulli Lotzmann.|
|69-H-1050|ap11-69-H-1050HR.jpg||This photo shows the Apollo 11 Saturn V on the pad at the Kennedy Space Center with the Mobile Service Structure being moved into place. Photo filed 1 July 1969. Scans by Kipp Teague.|
-00:50:59|69-H-1055|ap11-69-H-1055HR.jpg||Apollo 11 Saturn V on the pad. Photo filed 1 July 1969. Scans by Kipp Teague.|
|69-H-1057|ap11-69-H-1057.jpg||"Armstrong, Aldrin, and Collins (left to right) in the transfer van returning from the pad with suit tech Joe Schmidt after a Countdown Demonstration Test. Note that, although the astronauts have removed their helmets, they are still using their Portable Oxygen Ventilators to provide air circulation and cooling. Note that the units attached to the suits have white hoses while the unit on the left has black hoses. Perhaps because each unit could only provide oxygen for a limited amount of time, at least two sets of units were used sequentially from the time that the crew started breathing pure oxygen in the suiting room until they were hooked up to spacecraft oxygen. Journal Contributor James Hill calls attention to the fact that, as can be seen in launch-day photo <a href=""#69H1121"" target=""new"">69-H-1121</a>, units with white hoses were in use as they boarded the transfer van for the trip to the pad and, as can be seen in launch-day photo <a href=""#KSC69PC399"" target=""new"">KSC-69PC-399</a>, by the time they were on the swing arm, they were using black-hose units. In a May 2007 exchange of e-mail, Apollo suit tech Troy Stewart indicated that the black hoses were probably the same as the white hoses except that the outer, thermal insulation had been removed. We do not currently know if there was a thermal reason for using two different units or if the units could provide oxygen for less than the hour that the crews typically used the POVs and the difference in the hoses was a means of keeping track of the units. Photo filed 3 July 1969. Scan by Kipp Teague."|
|69-H-1081|ap11-69-H-1081HR.jpg||The Mobile Service Structure (MSS) moves down the pad 39A ramp, leaving the Saturn V alone during a Countdown Demonstration Test. Photo filed 11 July 1969. Scans by Kipp Teague.|
|69-H-1089|ap11-69-H-1089HR.jpg||Neil Armstrong with astronaut Don L. Lind in KSC's Flight Crew Training Building. Note the pressure gauge on Neil's right wrist. Photo filed 10 July 1969. Scan by Ed Hengeveld.|
|69-H-1090|ap11-69-H-1090.jpg||Buzz Aldrin arrives for work, holding the keys to his Corvette. Photo filed 10 July 1969. Scan by Frederick Artner.|
|69-H-1094|ap11-69-H-1094HR.jpg||Buzz Aldrin (left), Mike Collins, and Neil Armstrong review flight plans. 11 July 1969. Scan by Ed Hengeveld.|
