086:04:01|2|Music: Frank Sinatra - It's Nice To Go Trav'ling
086:12:16|2|Music: Bettye Swann - Angel Of The Morning
086:23:04|2|Music: The Lettermen - Put Your Head On My Shoulder
086:32:38|2|Earthrise 16mm and photos Rev 6
086:32:55|1|Crew Sleep Period Start
093:32:40|1|Crew wake-up
095:16:17|2|News report: Prayers, Aldrin's son, bunny girl, miss universe
095:53:30|2|Loud noise startles Collins
099:25:01|2|GO for undocking
099:43:22|2|Collins teasing Armstrong about being Czar
100:11:53|1|Eagle undocks from Columbia
100:12:04|1|Separation for landing
100:33:47|2|GO for separation maneuver (prior to DOI)
100:37:36|2|"Somebody's upside-down."
100:39:53|2|Pre-landing separation
101:17:32|2|GO/NO-GO for DOI
101:17:32|1|Descent Orbit Insertion
101:54:13|2|List of officials in the viewing gallery
102:20:03|2|Kranz: "We're off to a good start. Play it cool."
102:20:38|2|Secure doors in the MOCR
102:27:57|2|GO/NO-GO for powered descent.
102:42:01|2|GO/NO-GO for landing.
102:46:02|1|Eagle has landed
102:52:46|2|Kranz: "come on, let's keep the chatter down"
102:57:07|2|Smiling faces
103:02:56|2|Program Alarms discussion
105:25:41|2|Aldrin contemplates events
106:23:54|2|McCandless laughs at Aldrin's accurate PRD reading
106:54:48|2|Collins comments on the crowd in the MOCR
108:30:20|2|Collins compliments Eagle crew
109:19:18|1|On the porch
109:22:50|2|Coming down the ladder
109:24:26|2|First step
109:30:54|2|Armstrong reminded to get a contingency sample
109:41:29|2|Aldrin closes the hatch making sure not to lock it
109:43:19|2|Aldrin: "Magnificent desolation"
109:52:42|2|Armstrong reads the plaque
110:13:17|2|Aldrin tries different modes of walking
110:16:11|2|Nixon talks to the crew on the surface
110:24:31|2|Aldrin has his microphone inside his mouth
111:10:22|2|Good EASEP data
111:16:54|2|Seismic team wants crew to jump for data
111:32:27|2|Laser reflector test successful
111:37:48|1|Reentering Lunar Module
111:42:37|2|Cabin repress
112:00:31|2|SPAN "pretty incredible"
